"","Tumor_Sample","Healthy_Sample"
"ADIPOR1",3960.2605,1876.5511
"ADIPOR2",3816.6639,1826.917
"ADK",350.6428,272.3513
"ADM2",1370.5126,55.043
"ADM",113.8754,434.2984
"ADNP2",529.3037,704.7407
"ADNP",2872.5998,2420.6172
"ADORA1",514.2762,427.6169
"ADORA2A",212.3827,66.497
"ADORA2B",313.9088,122.4944
"ADORA3",168.3086,108.1769
"ADO",508.5991,676.742
"ADPGK",986.4685,802.7808
"ADPRHL1",46.7524,37.5437
"ADPRHL2",665.2196,502.7044
"ADPRH",276.5069,469.615
"ADRA1A",7.3468,14.9539
"ADRA1B",11.6881,60.4518
"ADRA1D",1.3358,7.636
"ADRA2A",532.6432,782.0554
"ADRA2B",56.7707,46.1343
"ADRA2C",10.0184,127.5851
"ADRB1",13.0239,13.0449
"ADRB2",95.1745,276.8056
"ADRB3",0.3339,1.2727
"ADRBK1",1785.6069,2047.7251
"ADRBK2",1075.6387,1102.4499
"ADRM1",1662.715,1151.1295
"ADSL",1453.999,778.2374
"ADSSL1",44.7487,94.4957
"ADSS",2448.155,1433.9803
"AEBP1",16051.0937,9062.9971
"AEBP2",1543.4964,1218.8991
"AEN",592.0855,760.7381
"AES",8881.2824,6148.9023
"AFAP1L1",190.6829,699.3318
"AFAP1L2",185.6737,1138.4028
"AFAP1",1349.6176,1593.0417
"AFARP1",6.6789,0.9545
"AFF1",1327.7676,2785.8734
"AFF2",112.5397,96.4047
"AFF3",81.8167,633.153
"AFF4",2327.6006,3851.0977
"AFG3L1",230.0885,245.9434
"AFG3L2",2461.8634,1045.3452
"AFMID",805.4767,440.0255
"AFM",0,0
"AFP",0.6679,20.3627
"AFTPH",1967.2733,1644.6071
"AG2",60.7781,2742.2844
"AGAP11",18.7043,274.9189
"AGAP1",710.6362,643.9707
"AGAP2",71.2874,106.2265
"AGAP3",1114.3764,1681.5145
"AGAP4",169.9783,250.0795
"AGAP5",17.3652,70.3945
"AGAP6",159.626,163.8562
"AGAP7",8.6826,7.636
"AGAP8",22.0404,39.1346
"AGA",696.2765,408.2087
"AGBL1",0,0.3182
"AGBL2",8.3486,13.363
"AGBL3",4.3413,7.9542
"AGBL4",0.3339,5.4088
"AGBL5",1028.8896,571.1168
"AGER",11.3541,81.4508
"AGFG1",1761.8968,1988.546
"AGFG2",197.0279,579.7009
"AGGF1",416.4301,858.4155
"AGK",813.1575,502.7044
"AGL",884.2879,1033.4076
"AGMAT",111.8718,11.7722
"AGPAT1",2770.4926,1488.4664
"AGPAT2",939.7228,1168.3105
